author,bookformat,desc,genre,img,isbn,pages,rating,reviews,title,totalratings
George R.R. Martin,Paperback,"A comet the color of blood and flame cuts across the sky. Two great leadersâ€”Lord Eddard Stark and Robert Baratheonâ€”who hold sway over an age of enforced peace are dead, victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the Seven Kingdoms, preparing to stake their claims through tempest, turmoil, and war. ,It is a tale in which brother plots against brother and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. Against a backdrop of incest and fratricide, alchemy and murder, victory may go to the men and women possessed of the coldest steel...and the coldest hearts. For when kings clash, the whole land trembles.,Here is the second volume in George R.R. Martin magnificent cycle of novels that includes ,A Game of Thrones, and ,A Storm of Swords,. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R.R. Martin stunning series is destined to stand as one of the great achievements of imaginative fiction.","Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Adult,Adventure,Fantasy,Dragons,Audiobook,Epic",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212l/10572.jpg,553381695,969,4.41,24450,A Clash of Kings,817634
Cassandra Clare,Hardcover,"Also see: Alternate Cover Editions for this ISBN [ACE] , ,
  ,ACE #1,
,Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go â€” especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil â€” and also her father.,To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings â€” and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father?,In this breathtaking sequel to ,City of Bones,, Cassandra Clare lures her readers back into the dark grip of New York City's Downworld, where love is never safe and power becomes the deadliest temptation.","Fantasy,Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Paranormal,Vampires,Fiction,Fantasy,Supernatural,Paranormal,Angels,Fantasy,Magic",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730356l/1582996._SY475_.jpg,1416914293,453,4.15,30710,City of Ashes,798067
E.L. James,Paperback,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, ,Fifty Shades Darker, is the irresistibly addictive second part of the Fifty Shades trilogy.","Romance,Adult Fiction,Erotica,Fiction,Erotica,BDSM,Adult,Contemporary,Romance,Contemporary Romance,Womens Fiction,Chick Lit,Romance,Erotic Romance,Adult Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358266080l/11857408.jpg,1612130585,532,3.84,29361,Fifty Shades Darker,779074
"William Shakespeare,Harold Bloom,Rex Gibson",Paperback,"Among Shakespeare's plays, ""Hamlet"" is considered by many his masterpiece. Among actors, the role of Hamlet, Prince of Denmark, is considered the jewel in the crown of a triumphant theatrical career. Now Kenneth Branagh plays the leading role and co-directs a brillant ensemble performance. Three generations of legendary leading actors, many of whom first assembled for the Oscar-winning film ""Henry V"", gather here to perform the rarely heard complete version of the play. This clear, subtly nuanced, stunning dramatization, presented by The Renaissance Theatre Company in association with ""Bbc"" Broadcasting, features such luminaries as Sir John Gielgud, Derek Jacobi, Emma Thompson and Christopher Ravenscroft. It combines a full cast with stirring music and sound effects to bring this magnificent Shakespearen classic vividly to life. Revealing new riches with each listening, this production of ""Hamlet"" is an invaluable aid for students, teachers and all true lovers of Shakespeare - a recording to be treasured for decades to come.","Classics,Plays,Fiction,Drama,Academic,School,Literature,Plays,Theatre,Academic,Read For School,Young Adult,High School,Poetry",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351051208l/1420.jpg,521618746,289,4.03,13892,Hamlet,769262
Joseph Heller,Paperback,"Fifty years after its original publication, Catch-22 remains a cornerstone of American literature and one of the funniestâ€”and most celebratedâ€”books of all time. In recent years it has been named to â€œbest novelsâ€ lists by Time, Newsweek, the Modern Library, and the London Observer.,Set in Italy during World War II, this is the story of the incomparable, malingering bombardier, Yossarian, a hero who is furious because thousands of people he has never met are trying to kill him. But his real problem is not the enemyâ€”it is his own army, which keeps increasing the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempt to excuse himself from the perilous missions heâ€™s assigned, heâ€™ll be in violation of Catch-22, a hilariously sinister bureaucratic rule: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes a formal request to be removed from duty, he is proven sane and therefore ineligible to be relieved.,This fiftieth-anniversary edition commemorates Joseph Hellerâ€™s masterpiece with a new introduction by Christopher Buckley; a wealth of critical essays and reviews by Norman Mailer, Alfred Kazin, Anthony Burgess, and others; rare papers and photos from Joseph Hellerâ€™s personal archive; and much more. Here, at last, is the definitive edition of a classic of world literature.","Classics,Fiction,Historical,Historical Fiction,War,Humor,Literature,Novels,Unfinished,Literature,American,Historical",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg,684833395,453,3.98,19156,Catch-22,749345
"Steven D. Levitt,Stephen J. Dubner",Hardcover,"Which is more dangerous, a gun or a swimming pool? What do schoolteachers and sumo wrestlers have in common? Why do drug dealers still live with their moms? How much do parents really matter? What kind of impact did Roe v. Wade have on violent crime? Freakonomics will literally redefine the way we view the modern world.,These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economist. He is a much heralded scholar who studies the stuff and riddles of everyday life -- from cheating and crime to sports and child rearing -- and whose conclusions regularly turn the conventional wisdom on its head. He usually begins with a mountain of data and a simple, unasked question. Some of these questions concern life-and-death issues; others have an admittedly freakish quality. Thus the new field of study contained in this book: freakonomics.,Through forceful storytelling and wry insight, Levitt and co-author Stephen J. Dubner show that economics is, at root, the study of incentives -- how people get what they want, or need, especially when other people want or need the same thing. In Freakonomics, they set out to explore the hidden side of ... well, everything. The inner workings of a crack gang. The truth about real-estate agents. The myths of campaign finance. The telltale marks of a cheating schoolteacher. The secrets of the Ku Klux Klan.,What unites all these stories is a belief that the modern world, despite a surfeit of obfuscation, complication, and downright deceit, is not impenetrable, is not unknowable, and -- if the right questions are asked -- is even more intriguing than we think. All it takes is a new way of looking. Steven Levitt, through devilishly clever and clear-eyed thinking, shows how to see through all the clutter.,Freakonomics establishes this unconventional premise: If morality represents how we would like the world to work, then economics represents how it actually does work. It is true that readers of this book will be armed with enough riddles and stories to last a thousand cocktail parties. But Freakonomics can provide more than that. It will literally redefine the way we view the modern world.,(front flap)","Nonfiction,Economics,Business,Science,Psychology,Sociology,Economics,Finance,Politics,Audiobook,Social Science",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550917827l/1202._SX318_.jpg,61234001,268,3.98,16888,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,747428
E.L. James,Paperback,"When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christianâ€™s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.,Now, Ana and Christian have it allâ€”love, passion, intimacy, wealth, and a world of possibilities for their future.Â But Ana knows that loving her Fifty Shades will not be easy, and that being together will pose challenges that neither of them would anticipate.Â Ana must somehow learn to share Christianâ€™s opulent lifestyle without sacrificing her own identity. And Christian must overcome his compulsion to control as he wrestles with the demons of a tormented past.,Just when it seems that their strength together will eclipse any obstacle, misfortune, malice, and fate conspire to make Anaâ€™s deepest fears turn to reality.,This book is intended for mature audiences.","Romance,Adult Fiction,Erotica,Fiction,Erotica,BDSM,Adult,Contemporary,Romance,Contemporary Romance,Womens Fiction,Chick Lit,Romance,Erotic Romance,Adult Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336418837l/13536860.jpg,345803507,579,3.85,26559,Fifty Shades Freed,744885
"Nathaniel Hawthorne,Thomas E. Connolly,Nina Baym",Paperback,"Set in 17th-century Puritan Boston, Massachusetts, during the years 1642 to 1649, it tells the story of Hester Prynne, who conceives a daughter through an affair and will not reveal her loverâ€™s identity. The scarlet letter A (for adultery) she has to wear on her clothes, along with her public shaming, is her punishment for her sin and her secrecy. She struggles to create a new life of repentance and dignity. Throughout the book, Hawthorne explores themes of legalism, sin, and guilt.","Classics,Fiction,Historical,Historical Fiction,Academic,School,Literature,Young Adult,High School,Academic,Read For School,Historical,Classics,Classic Literature,Novels",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944l/12296.jpg,142437263,279,3.42,15360,The Scarlet Letter,733658
Cheryl Strayed,Hardcover,"An alternate cover for this ISBN can be found ,here,.,At twenty-two, Cheryl Strayed thought she had lost everything. In the wake of her motherâ€™s death, her family scattered and her own marriage was soon destroyed. Four years later, with nothing more to lose, she made the most impulsive decision of her life. With no experience or training, driven only by blind will, she would hike more than a thousand miles of the Pacific Crest Trail from the Mojave Desert through California and Oregon to Washington State â€” and she would do it alone.,Told with suspense and style, sparkling with warmth and humor, ,Wild, powerfully captures the terrors and pleasures of one young woman forging ahead against all odds on a journey that maddened, strengthened, and ultimately healed her.","Nonfiction,Autobiography,Memoir,Travel,Biography,Adventure,Audiobook,Biography Memoir,Biography,Autobiography,Environment,Nature,Book Club",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453189881l/12262741._SY475_.jpg,307592731,315,4.02,41590,Wild: From Lost to Found on the Pacific Crest Trail,657406
"Stephen King,Bernie Wrightson",Hardcover,This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death. And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides -- or are chosen.,"Horror,Fiction,Fantasy,Science Fiction,Apocalyptic,Post Apocalyptic,Thriller,Science Fiction,Dystopia,Science Fiction,Apocalyptic,Audiobook,Classics",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305l/149267.jpg,385199570,1152,4.34,22736,The Stand,652033
